hook,naam_a,reden_a,label_a,waarde_a,naam_b,reden_b,label_b,waarde_b,payoff,url
Albanië of Griekenland: welk land past beter bij jullie als koppel?,Albanië,"jullie budget belangrijk vinden, onontdekte plekken willen verkennen en een…",Bereikbaarheid,Vluchten naar Tirana of Korfu + veerboot…,Griekenland,"jullie luxere hotels, eilandhoppen en een breder aanbod aan restaurants en uitgaan…",Bereikbaarheid,Directe vluchten naar tientallen eilanden en…,"Albanië voor avontuur en budget: 30-50% goedkoper, ongerepte stranden, minder toeristen.",kiespret.nl/gids/albanie-of-griekenland/
Albanie of Kroatie: welk kustland past bij jullie?,Albanie,jullie een betaalbare vakantie zoeken met onontdekte stranden en een avontuurlijker…,Prijs,30-50% goedkoper: dagbudget koppel…,Kroatie,"jullie van historische stadjes houden, willen eilandhoppen en meer comfort en keuze…",Prijs,"Duurder, vergelijkbaar met Spanje/Italie…","Albanie voor budget en onontdekt avontuur: 30-50% goedkoper, rustige stranden, minder toeristen.",kiespret.nl/gids/albanie-of-kroatie/
Albanië of Montenegro: welk Balkanland past bij jullie?,Albanië,"jullie budget belangrijk vinden, de mooiste stranden willen en een ruwer avontuur…",Prijs,Zeer goedkoop: diner voor twee indicatief…,Montenegro,"jullie van fotogenieke oude stadjes houden, fjorden willen zien en iets meer comfort…",Prijs,Budget-vriendelijk: diner voor twee ca.…,"Albanië voor de mooiste stranden, de laagste prijzen en een avontuurlijker gevoel.",kiespret.nl/gids/albanie-of-montenegro/
Saranda of Himarë: welke Albanese kustplaats past bij jullie?,Saranda,"voor boulevard, Ksamil en dagtrip Corfu — als jullie comfort en aanbod zoeken",Bereikbaarheid,"Vliegveld Corfu + ferry, of via Tirana (4-5u)",Himarë,voor ongerepte stranden en avontuur — als jullie de drukte willen ontwijken,Bereikbaarheid,"Alleen over de weg, 1-1,5u van Saranda","Kies Saranda als jullie meer faciliteiten willen, een dagtrip naar Corfu leuk vinden en een georganiseerdere…",kiespret.nl/gids/albanie/saranda-of-himare/
Saranda of Ksamil: welke Albanese kustplaats past bij jullie?,Saranda,"jullie 's avonds willen uitgaan, van een stadse boulevard houden en graag…",Bereikbaarheid,"Beste route: vliegen naar Korfu, ferry naar…",Ksamil,"jullie prioriteit stranden en helder water is. Ga in mei, juni of september voor…",Bereikbaarheid,"Vanuit Saranda 20 min met taxi of bus, geen…","Ksamil voor de mooiste stranden, Saranda voor sfeer en uitgaansleven.",kiespret.nl/gids/albanie/saranda-of-ksamil/
Curaçao of Bonaire: welk Caribisch eiland past bij jullie?,Curaçao,voor stadsleven + strand combineren — als jullie meer nightlife willen,Stranden,"35+ stranden: Cas Abao, Knip, Jan Thiel…",Bonaire,voor duiken en rust — als jullie van flamingo's en natuur houden,Stranden,"Minder stranden, maar prachtig: Te Amo…","Kies Curaçao als jullie meer willen dan alleen strand: Willemstad biedt kleurrijke architectuur, goede…",kiespret.nl/gids/curacao-of-bonaire/
Dubrovnik of Split: welke Kroatische stad past bij jullie?,Dubrovnik,"voor stadsmuren, romantiek en Game of Thrones-sfeer",Prijs,"Duurder, vooral in het hoogseizoen",Split,voor Diocletianus' paleis en een levendige markt,Prijs,20-30% goedkoper dan Dubrovnik,Kies Dubrovnik voor de meest fotogenieke stadsmuren van Europa en een romantische sfeer.,kiespret.nl/gids/dubrovnik-of-split/
Egypte of Griekenland: welk land past beter bij jullie?,Egypte,voor budgetvriendelijk all inclusive — als jullie van snorkelen houden,Prijs,Goedkoop (±€500-800 p.p./week AI),Griekenland,voor eilandromantiek — als jullie van authentiek eten houden,Prijs,Duurder (±€800-1200 p.p./week AI),"Kies Egypte als jullie winterzon zoeken, van snorkelen houden en het beste all-inclusive aanbod willen voor…",kiespret.nl/gids/egypte-of-griekenland/
Cyprus of Kreta: welk eiland past bij jullie?,Kreta,"voor Griekse keuken, Samaria-kloof en authentieke dorpen",Vliegduur,"±3,5u vanuit Schiphol",Cyprus,voor Brits-Grieks-Turks mengelmoes en archeologie,Vliegduur,"±4,5u vanuit Schiphol","Kies Kreta als jullie authentiek Grieks eten, bergdorpen en gevarieerde stranden willen.",kiespret.nl/gids/eilanden/cyprus-of-kreta/
Ibiza of Mallorca: welk Balearen-eiland past bij jullie?,Mallorca,"voor Palma, Tramuntana en variatie — als jullie ook willen wandelen",Grootte,Groot (3.640 km²) — veel te ontdekken,Ibiza,voor zonsondergangen en bohemien-sfeer — als jullie van eten en uitgaan houden,Grootte,Klein (572 km²) — alles dichtbij,"Kies Mallorca als jullie veelzijdigheid zoeken: bergen, stadse sfeer in Palma, diverse stranden en een groot…",kiespret.nl/gids/eilanden/ibiza-of-mallorca/
